Date,Bankroll,Strategy
2019-11-23,-22199.992987981954,flat
2019-11-23,-22299.992987981954,flat
2019-11-23,-22201.143111090783,flat
2019-11-23,-22301.143111090783,flat
2019-11-23,-22222.99423518196,flat
2019-11-24,-22322.99423518196,flat
2019-11-24,-22422.99423518196,flat
2019-11-25,-22522.99423518196,flat
2019-11-30,-22622.99423518196,flat
2019-11-30,-22722.99423518196,flat
2019-11-30,-22601.342818350295,flat
2019-11-30,-22701.342818350295,flat
2019-11-30,-22666.068814199643,flat
2019-11-30,-22607.748218908564,flat
2019-11-30,-22515.33633147049,flat
2019-11-30,-22615.33633147049,flat
2019-12-01,-22715.33633147049,flat
2019-12-01,-22645.683383314677,flat
2019-12-01,-22745.683383314677,flat
2019-12-01,-22845.683383314677,flat
2019-12-03,-22765.13966274061,flat
2019-12-03,-22714.399493782978,flat
2019-12-04,-22619.230270818618,flat
2019-12-04,-22719.230270818618,flat
2019-12-04,-22673.52225813695,flat
2019-12-04,-22618.110805331846,flat
2019-12-04,-22538.15030278099,flat
2019-12-04,-22497.093715559356,flat
2019-12-04,-22412.388588355465,flat
2019-12-05,-22512.388588355465,flat
2019-12-05,-22612.388588355465,flat
2019-12-07,-22712.388588355465,flat
2019-12-07,-22812.388588355465,flat
2019-12-07,-22912.388588355465,flat
2019-12-07,-22850.655972287892,flat
2019-12-07,-22804.273771221895,flat
2019-12-07,-22904.273771221895,flat
2019-12-08,-22821.477573518754,flat
2019-12-08,-22757.423598165795,flat
2019-12-08,-22857.423598165795,flat
2019-12-08,-22768.760946554878,flat
2019-12-09,-22680.753028874078,flat
2019-12-14,-22647.022687237415,flat
2019-12-14,-22539.557386748605,flat
2019-12-14,-22639.557386748605,flat
2019-12-14,-22739.557386748605,flat
2019-12-14,-22839.557386748605,flat
2019-12-14,-22778.217351140785,flat
2019-12-14,-22878.217351140785,flat
2019-12-14,-22763.079161895206,flat
2019-12-15,-22863.079161895206,flat
2019-12-15,-22761.062618488013,flat
2019-12-15,-22861.062618488013,flat
2019-12-15,-22785.784508973436,flat
2019-12-16,-22885.784508973436,flat
2019-12-21,-22985.784508973436,flat
2019-12-21,-23085.784508973436,flat
2019-12-21,-23185.784508973436,flat
2019-12-21,-23083.12403887117,flat
2019-12-21,-23183.12403887117,flat
2019-12-21,-23062.69411184591,flat
2019-12-21,-23162.69411184591,flat
2019-12-21,-23064.59878649229,flat
2019-12-21,-22964.873767433077,flat
2019-12-21,-23064.873767433077,flat
2019-12-21,-22983.433576168074,flat
2019-12-21,-22927.05246106555,flat
2019-12-22,-23027.05246106555,flat
2019-12-22,-23127.05246106555,flat
2019-12-22,-22996.570118103562,flat
2019-12-26,-22926.325843910392,flat
2019-12-26,-22860.83748976812,flat
2019-12-26,-22960.83748976812,flat
2019-12-26,-22872.1175970163,flat
2019-12-26,-22972.1175970163,flat
2019-12-26,-23072.1175970163,flat
2019-12-26,-22966.526179868124,flat
2019-12-26,-23066.526179868124,flat
2019-12-26,-23011.430154043108,flat
2019-12-26,-22921.366726477863,flat
2019-12-27,-23021.366726477863,flat
2019-12-28,-23121.366726477863,flat
2019-12-28,-22999.62169388799,flat
2019-12-28,-22921.648419211582,flat
2019-12-28,-22842.83709935262,flat
2019-12-28,-22743.187495491682,flat
2019-12-28,-22843.187495491682,flat
2019-12-28,-22943.187495491682,flat
2019-12-28,-22855.88210782138,flat
2019-12-28,-22955.88210782138,flat
2019-12-28,-23055.88210782138,flat
2019-12-29,-23009.957691871638,flat
2019-12-29,-23109.957691871638,flat
2019-12-29,-22989.590484505465,flat
2019-12-29,-22943.262077583928,flat
2020-01-01,-22856.49598810323,flat
2020-01-01,-22746.950842493712,flat
2020-01-01,-22846.950842493712,flat
2020-01-01,-22946.950842493712,flat
2020-01-01,-23046.950842493712,flat
2020-01-01,-22958.760702371892,flat
2020-01-01,-23058.760702371892,flat
2020-01-01,-23158.760702371892,flat
2020-01-01,-23115.016290834275,flat
2020-01-01,-23215.016290834275,flat
2020-01-02,-23172.16733851462,flat
2020-01-10,-23088.948419819208,flat
2020-01-11,-23031.031570219067,flat
2020-01-11,-23131.031570219067,flat
2020-01-11,-23054.093653180626,flat
2020-01-11,-23154.093653180626,flat
2020-01-11,-23106.522541256152,flat
2020-01-11,-23036.566531185534,flat
2020-01-11,-23136.566531185534,flat
2020-01-11,-23236.566531185534,flat
2020-01-12,-23336.566531185534,flat
2020-01-12,-23215.36354146526,flat
2020-01-12,-23175.977183215662,flat
2020-01-18,-23275.977183215662,flat
2020-01-18,-23375.977183215662,flat
2020-01-18,-23274.118466853815,flat
2020-01-18,-23167.416604976705,flat
2020-01-18,-23267.416604976705,flat
2020-01-18,-23367.416604976705,flat
2020-01-18,-23467.416604976705,flat
2020-01-18,-23567.416604976705,flat
2020-01-18,-23667.416604976705,flat
2020-01-18,-23767.416604976705,flat
2020-01-18,-23867.416604976705,flat
2020-01-19,-23967.416604976705,flat
